Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Victim_Race,Victim_Gender,Victim_Age,Report_Type
B-15173-17,4,Tullis Dr & Cypress Grove St,CLOSED,17F,FUGITIVE ATTACHMENT,2017-02-13 21:03:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,22,,,,Incident Report
A-03381-17,5,6XX Flood St,OPEN,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),2017-01-03 19:50:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,FEMALE,27,BLACK,FEMALE,27,Incident Report
B-18329-17,8,7XX Conti St,OPEN,35,SIMPLE BATTERY,2017-02-16 04:58:00,54 96,BATTERY,,,,WHITE,MALE,33,Incident Report
B-08392-17,7,49XX Sherwood Dr,OPEN,21P,LOST PROPERTY,2017-02-08 10:00:00,,,,,,BLACK,FEMALE,45,Incident Report
B-23026-17,4,39XX Behrman Pl,OPEN,35,SIMPLE BATTERY,2017-02-20 12:00:00,54 96,BATTERY,BLACK,FEMALE,,BLACK,FEMALE,34,Incident Report
B-26822-17,6,14XX Saint Charles Av,CLOSED,966,DRUG LAW VIOLATION,2017-02-23 20:55:00,14 95,ILLEGAL CARRYING OF WEAPON,BLACK,MALE,18,,,,Incident Report
B-15493-17,2,2XX Broadway St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-14 09:15:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,,,,Incident Report
B-26621-17,7,47XX Sherwood Dr,OPEN,27-29S,ATTEMPTED SUICIDE,2017-02-23 17:47:00,,,,,,BLACK,FEMALE,59,Incident Report
B-24601-17,3,18XX Benefit St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-21 20:45:00,,,,,,BLACK,MALE,38,Incident Report
B-25638-17,5,19XX Hope St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-22 08:30:00,,,,,,BLACK,MALE,54,Incident Report
B-15113-17,7,51XX Bundy Rd 32,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-02-13 21:45:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,24,BLACK,FEMALE,25,Incident Report
B-23042-18,8,Dauphine St & Saint Ann St,OPEN,103,DISTURBANCE,2017-02-19 15:30:00,,,,,,WHITE,FEMALE,44,Incident Report
B-15001-17,8,10XX Royal,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-13 18:00:00,,,,,,WHITE,MALE,43,Incident Report
B-24650-17,3,Chef Menteur Bd & Desire Pw,CLOSED,966,DRUG LAW VIOLATION,2017-02-21 20:19:00,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,35,,,,Incident Report
A-14573-17,1,38XX Bienvenue St,OPEN,103,DISTURBANCE,2017-01-13 14:00:00,54 403,DISTURBING THE PEACE,BLACK,MALE,19,HISPANIC,FEMALE,43,Incident Report
A-01370-17,5,16XX Lesseps St,OPEN,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),2017-01-02 04:08:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,27,BLACK,FEMALE,27,Incident Report
B-25348-17,7,76XX Scottwood Dr,OPEN,103,DISTURBANCE,2017-02-22 15:09:00,,,,,,BLACK,MALE,46,Incident Report
B-19861-17,8,2XX Bourbon St,CLOSED,966,DRUG LAW VIOLATION,2017-02-17 23:00:00,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,37,,,,Incident Report
B-11883-17,1,27XX Palmyra St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-10 23:50:00,,,,,,HISPANIC,FEMALE,32,Incident Report
B-26089-17,2,52XX Laurel St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-22 23:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,HISPANIC,FEMALE,61,Incident Report
B-23425-17,3,34XX Clematis St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-20 18:41:00,,,,,,BLACK,FEMALE,34,Incident Report
B-27662-17,5,18XX Touro St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-24 16:11:00,,,,,,BLACK,MALE,45,Incident Report
B-26526-17,3,25XX Elder St,CLOSED,103,DISTURBANCE,2017-02-23 15:00:00,,,,,,BLACK,MALE,62,Incident Report
B-22138-17,7,68XX E Coronet Ct,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-19 20:20:00,,,,,,BLACK,MALE,66,Incident Report
B-03968-17,7,77XX Mill St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-02-03 06:00:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,53,BLACK,FEMALE,44,Incident Report
B-08259-17,6,14XX Josephine St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-08 03:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,HISPANIC,MALE,30,Incident Report
B-21399-17,1,15XX Canal St,OPEN,30S,HOMICIDE (SHOOTING),2017-02-19 03:37:00,14 34,AGG. BATTERY,,,,BLACK,MALE,,Incident Report
B-26132-17,7,85XX Curran Bd,OPEN,81,INDECENT BEHAVIOR WITH A JUVENILE,2017-02-23 08:30:00,,,,,,,,,Incident Report
B-09267-17,8,X Poydras St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-08 23:38:00,,,,,,,,,Incident Report
A-31471-17,7,77XX S Coronet Ct,OPEN,21P,LOST PROPERTY,2017-01-28 09:00:00,,,,,,,,,Supplemental Report
B-09603-17,6,Martin Luther King Jr Bd & Baronne St,OPEN,67B,BICYCLE THEFT,2017-02-08 04:00:00,14 67,THEFT,UNKNOWN,,,WHITE,FEMALE,24,Incident Report
B-16866-17,6,28XX S Claiborne Av,OPEN,67S,SHOPLIFTING,2017-02-15 12:52:00,14 67,THEFT,BLACK,FEMALE,,,,,Incident Report
B-22340-17,8,5XX Bourbon St,CLOSED,966,DRUG LAW VIOLATION,2017-02-19 20:30:00,14 95.7,FIREARM WITH OBLITERATED NUMBER,BLACK,MALE,18,,,,Incident Report
B-08331-17,7,82XX Chef Menteur Hw,OPEN,62B,SIMPLE BURGLARY (BUSINESS),2017-02-08 09:00:00,14 67,THEFT,UNKNOWN,,,,,,Incident Report
B-24770-17,3,25XX Jasmine St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-02-22 12:50:00,14 35,SIMPLE BATTERY,BLACK,FEMALE,22,BLACK,MALE,64,Incident Report
B-19293-17,8,7XX Canal,OPEN,21P,LOST PROPERTY,2017-02-10 12:00:00,,,,,,,,,Supplemental Report
B-23659-17,7,136XX N Cavelier Dr,OPEN,27-29S,ATTEMPTED SUICIDE,2017-02-02 11:15:00,,,,,,BLACK,MALE,33,Incident Report
B-25908-17,7,105XX Curran Bd 11D,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-02-23 00:40:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,FEMALE,20,BLACK,FEMALE,24,Incident Report
B-21157-17,7,78XX S Coronet Dr C,OPEN,67,THEFT,2017-02-18 11:21:00,14 67.6,THEFT OF UTILITY SERVICE,,,,BLACK,MALE,51,Incident Report
B-26390-17,7,123XX S I-10 Service Rd,CLOSED,67S,SHOPLIFTING,2017-02-23 13:27:00,54 186,THEFT,BLACK,MALE,54,,,,Incident Report
B-22580-17,3,32XX Gentilly Bd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 01:45:00,14 62,SIMPLE BURGLARY,,,,BLACK,MALE,39,Incident Report
B-22580-17,3,32XX Gentilly Bd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 01:45:00,14 62,SIMPLE BURGLARY,,,,BLACK,MALE,39,Incident Report
B-18665-17,7,Dwyer Rd & Francis Dr,OPEN,64J,ARMED CARJACKING,2017-02-16 22:10:00,14 64.2,CARJACKING,,,,BLACK,MALE,22,Incident Report
B-26823-17,5,Pauline St & Royal St,OPEN,65,SIMPLE ROBBERY,2017-02-23 21:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,,WHITE,FEMALE,37,Incident Report
B-15791-17,2,32XX Calhoun St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-14 16:51:00,,,,,,WHITE,FEMALE,22,Incident Report
B-24768-17,2,19XX Eagle St,CLOSED,79,VIOLATION OF PROTECTIVE ORDERS,2017-02-21 22:40:00,14 79,VIOLATIONS OF PROTECTIVE ORDERS,BLACK,FEMALE,32,,,,Incident Report
B-22237-17,1,N Galvez St & Laharpe St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-19 19:20:00,,,,,,BLACK,MALE,31,Incident Report
A-07934-17,4,33XX Kabel Dr,OPEN,35,SIMPLE BATTERY,2017-01-07 23:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,FEMALE,31,BLACK,FEMALE,35,Incident Report
B-27299-17,5,17XX Lesseps St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-24 08:16:00,,,,,,BLACK,MALE,53,Incident Report
B-24508-17,1,10XX N Carrollton Av,CLOSED,27-62C,ATTEMPTED SIMPLE BURGLARY (VEHICLE),2017-02-21 18:46:00,14 (27) 62,ATTEMPT - SIMPLE BURGLARY,BLACK,MALE,25,WHITE,MALE,51,Incident Report
B-24508-17,1,10XX N Carrollton Av,CLOSED,27-62C,ATTEMPTED SIMPLE BURGLARY (VEHICLE),2017-02-21 18:46:00,14 (27) 62,ATTEMPT - SIMPLE BURGLARY,BLACK,MALE,25,WHITE,MALE,51,Incident Report
B-18857-17,7,101XX S I-10 Service Rd,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-17 02:45:00,,,,,,UNKNOWN,FEMALE,44,Incident Report
B-25196-17,2,27XX Octavia St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-21 22:30:00,14 62,SIMPLE BURGLARY,,,,WHITE,FEMALE,69,Incident Report
B-26692-17,2,53XX S Claiborne Av,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-23 18:40:00,,,,,,BLACK,FEMALE,23,Incident Report
B-25301-17,3,55XX Piety St,OPEN,35,SIMPLE BATTERY,2017-02-22 14:12:00,14 35,SIMPLE BATTERY,BLACK,MALE,16,BLACK,FEMALE,13,Incident Report
B-24738-17,3,8XX Homedale St,OPEN,29,DEATH,2017-02-22 00:19:00,,,,,,WHITE,FEMALE,63,Incident Report
B-24529-17,7,137XX N Lemans St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-21 02:00:00,14 62,SIMPLE BURGLARY,,,,HISPANIC,FEMALE,20,Incident Report
B-07279-17,3,42XX Buchanan St,CLOSED,21M,MISSING ADULT,2017-01-30 17:27:00,,,WHITE,MALE,55,,,,Supplemental Report
B-26227-17,8,Canal St & Rampart,OPEN,21J,MISSING/RUNAWAY JUVENILE,2017-02-23 20:00:00,14 730.3,RELATIVE TO MISSING/RUNAWAY JUVENILE,BLACK,FEMALE,16,BLACK,FEMALE,57,Incident Report
B-22213-17,7,Wentworth Dr & Dwyer Rd,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-19 19:00:00,,,,,,BLACK,FEMALE,26,Incident Report
B-26431-17,2,63XX St Charles Av,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-23 14:15:00,,,,,,WHITE,FEMALE,25,Incident Report
B-15650-17,6,12XX Peniston St,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,2017-02-14 11:15:00,14 67,THEFT,,,,BLACK,MALE,40,Incident Report
B-27123-17,7,78XX Sail St,CLOSED,37D,AGGRAVATED ASSAULT (DOMESTIC),2017-02-24 01:55:00,14 35,SIMPLE BATTERY,BLACK,MALE,16,BLACK,FEMALE,17,Incident Report
B-27123-17,7,78XX Sail St,CLOSED,37D,AGGRAVATED ASSAULT (DOMESTIC),2017-02-24 01:55:00,14 35,SIMPLE BATTERY,BLACK,MALE,16,BLACK,FEMALE,17,Incident Report
B-27123-17,7,78XX Sail St,CLOSED,37D,AGGRAVATED ASSAULT (DOMESTIC),2017-02-24 01:55:00,14 35,SIMPLE BATTERY,BLACK,MALE,16,BLACK,FEMALE,17,Incident Report
B-09422-17,7,111XX Prentiss Av,OPEN,63,TRESPASSING,2017-02-09 02:30:00,14 62.3,UNAUTHORIZED ENTRY (INHAB.DWELLING),,,,BLACK,MALE,42,Incident Report
B-13492-17,3,W I-10 Hw & Old Gentilly Rd,CLOSED,966,DRUG LAW VIOLATION,2017-02-12 12:28:00,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),BLACK,MALE,31,,,,Incident Report
B-25763-17,8,7XX Canal St,CLOSED,966,DRUG LAW VIOLATION,2017-02-22 22:00:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,19,,,,Incident Report
B-25873-17,3,37XX Pauger St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-02-23 00:30:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,25,BLACK,FEMALE,25,Incident Report
B-25132-17,6,28XX S Claiborne Av,CLOSED,67S,SHOPLIFTING,2017-02-22 11:00:00,54 188,POSSESSION OF STOLEN PROPERTY,WHITE,MALE,30,BLACK,MALE,,Incident Report
B-21399-17,1,15XX Canal St,OPEN,30S,HOMICIDE (SHOOTING),2017-02-19 03:37:00,14 34,AGG. BATTERY,,,,BLACK,MALE,34,Incident Report
B-24781-17,3,26XX Jonquil St,CLOSED,103D,DISTURBANCE (DOMESTIC),2017-02-22 01:00:00,,,,,,BLACK,MALE,49,Incident Report
B-23526-17,7,107XX Willowbrae Dr,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-20 20:25:00,,,,,,BLACK,FEMALE,63,Incident Report
B-10671-17,1,4XX S Broad St,CLOSED,21,MISCELLANEOUS INCIDENT,2017-02-09 23:09:00,PROBATION AND PAROLE,VIOLATION#,BLACK,MALE,27,,,,Incident Report
B-26214-17,6,S Broad & Eve,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-23 09:00:00,,,,,,WHITE,FEMALE,23,Incident Report
B-25094-17,4,5XX Pacific Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 15:00:00,14 62,SIMPLE BURGLARY,,,,BLACK,FEMALE,78,Incident Report
B-19565-17,8,6XX Bourbon St,OPEN,21P,LOST PROPERTY,2017-02-17 01:00:00,,,,,,,,,Supplemental Report
B-08392-17,7,49XX Sherwood Dr,OPEN,21P,LOST PROPERTY,2017-02-08 10:00:00,,,,,,,,,Incident Report
B-23790-17,4,48XX General Meyer Av,OPEN,62B,SIMPLE BURGLARY (BUSINESS),2017-02-21 02:45:00,14 62,SIMPLE BURGLARY,,,,WHITE,FEMALE,44,Incident Report
B-25465-17,2,84XX Pritchard Pl,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-02-22 11:30:00,14 62,SIMPLE BURGLARY,,,,BLACK,MALE,44,Incident Report
A-00776-17,4,7XX Whitney Av,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-01 05:30:00,14 68.4,UNAUTHORIZED USE OF A MOTOR VEHICLE,BLACK,MALE,36,BLACK,FEMALE,60,Supplemental Report
B-22921-17,3,17XX Humanity St,CLOSED,56,SIMPLE CRIMINAL DAMAGE,2017-02-20 10:45:00,14 59,CRIMINAL MISCHIEF,WHITE,FEMALE,39,BLACK,FEMALE,46,Supplemental Report
B-23460-17,3,54XX Mandeville St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-20 22:57:00,,,,,,BLACK,FEMALE,34,Incident Report
B-26067-17,3,9XX Chapelle St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-22 23:15:00,14 62,SIMPLE BURGLARY,UNKNOWN,,,WHITE,FEMALE,51,Incident Report
A-01411-17,4,8XX Belleville St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-01-02 05:42:00,14 35,SIMPLE BATTERY,BLACK,FEMALE,19,BLACK,FEMALE,30,Incident Report
B-23530-17,6,23XX Josephine St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-20 20:30:00,14 94,ILLEGAL USE OF WEAPONS,UNKNOWN,,,UNKNOWN,,,Incident Report
B-23530-17,6,23XX Josephine St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-20 20:30:00,14 94,ILLEGAL USE OF WEAPONS,UNKNOWN,,,UNKNOWN,,,Incident Report
B-10947-17,5,21XX Desire St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-10 09:30:00,,,,,,BLACK,FEMALE,22,Incident Report
B-25763-17,8,7XX Canal St,CLOSED,966,DRUG LAW VIOLATION,2017-02-22 22:00:00,14 95.7,FIREARM WITH OBLITERATED NUMBER,BLACK,MALE,19,,,,Incident Report
B-08343-17,7,48XX Laine Av,OPEN,67,THEFT,2017-02-08 09:30:00,14 67,THEFT,UNKNOWN,,,BLACK,FEMALE,41,Incident Report
B-26823-17,5,Pauline St & Royal St,OPEN,65,SIMPLE ROBBERY,2017-02-23 21:00:00,14 65,SIMPLE ROBBERY,BLACK,FEMALE,,WHITE,FEMALE,37,Incident Report
B-25647-17,7,21XX Paris Rd,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-22 08:40:00,,,,,,WHITE,MALE,27,Incident Report
B-24650-17,3,Chef Menteur Bd & Desire Pw,CLOSED,966,DRUG LAW VIOLATION,2017-02-21 20:19:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,21,,,,Incident Report
